Raw EMG - Pod01,Raw EMG - Pod02,Raw EMG - Pod03,Raw EMG - Pod04,Raw EMG - Pod05,Raw EMG - Pod06,Raw EMG - Pod07,Raw EMG - Pod08,Timestamp
0,0,0,0,0,0,0,-1,2020-10-21 18:07:12.268
0,0,0,0,0,0,0,-1,2020-10-21 18:07:12.284
0,0,0,0,0,0,0,-1,2020-10-21 18:07:12.301
0,0,0,0,0,0,0,-1,2020-10-21 18:07:12.318
0,0,0,0,0,0,0,-2,2020-10-21 18:07:12.335
0,0,0,0,0,0,0,-2,2020-10-21 18:07:12.352
0,0,0,0,0,0,0,-3,2020-10-21 18:07:12.368
7,-3,-1,0,0,0,-1,-3,2020-10-21 18:07:12.384
-5,1,0,-1,-2,-4,0,-3,2020-10-21 18:07:12.402
1,0,-2,0,0,0,-1,2,2020-10-21 18:07:12.419
1,0,-2,0,0,0,-1,-4,2020-10-21 18:07:12.435
-8,-2,-2,0,1,1,0,1,2020-10-21 18:07:12.452
1,0,1,1,1,-1,0,-3,2020-10-21 18:07:12.469
-1,1,0,0,-2,0,-4,3,2020-10-21 18:07:12.485
-1,1,0,0,-2,0,-4,-3,2020-10-21 18:07:12.502
-1,1,0,0,-2,0,-4,-1,2020-10-21 18:07:12.519
2,-6,-2,0,1,0,1,2,2020-10-21 18:07:12.536
-15,-4,0,2,2,1,-2,-1,2020-10-21 18:07:12.552
4,0,-2,-2,-3,0,-1,1,2020-10-21 18:07:12.569
-3,0,-1,-1,-1,-1,-2,-1,2020-10-21 18:07:12.585
4,-3,-1,-2,0,-1,1,6,2020-10-21 18:07:12.603
-5,-3,-2,-2,-3,-2,-1,-3,2020-10-21 18:07:12.619
-10,-1,2,0,-1,-1,1,-3,2020-10-21 18:07:12.636
6,-1,1,-3,0,-1,0,-2,2020-10-21 18:07:12.653
0,-2,-1,1,1,0,-1,-3,2020-10-21 18:07:12.669
1,1,-2,0,0,-1,0,-2,2020-10-21 18:07:12.685
-2,-1,-1,-1,-2,-1,0,-1,2020-10-21 18:07:12.702
6,0,-2,-3,-1,-1,2,-5,2020-10-21 18:07:12.719
-6,-4,0,-1,-1,-1,-1,-3,2020-10-21 18:07:12.735
-4,-2,-1,1,0,-1,-2,-1,2020-10-21 18:07:12.753
-2,2,-1,-1,-1,0,0,2,2020-10-21 18:07:12.769
-4,0,-1,0,1,-1,-4,1,2020-10-21 18:07:12.785
-8,-1,1,-1,-1,-2,0,-2,2020-10-21 18:07:12.803
-3,-1,-1,-2,0,-1,1,-1,2020-10-21 18:07:12.819
-2,-2,0,-1,-3,-3,-3,-3,2020-10-21 18:07:12.836
-6,-1,0,-1,0,0,-1,1,2020-10-21 18:07:12.853
7,1,-1,1,0,0,0,-3,2020-10-21 18:07:12.869
1,0,-1,0,0,2,0,-2,2020-10-21 18:07:12.885
-4,-2,0,0,-1,0,1,-1,2020-10-21 18:07:12.902
-8,-4,-1,-2,-4,-2,-2,1,2020-10-21 18:07:12.919
-9,-7,-2,0,0,-2,1,0,2020-10-21 18:07:12.935
-1,-1,0,0,-3,0,-3,-1,2020-10-21 18:07:12.952
10,0,0,3,-2,-2,1,-4,2020-10-21 18:07:12.969
1,0,-2,0,-1,-4,-4,-4,2020-10-21 18:07:12.985
-7,-5,-3,-1,-1,-2,0,2,2020-10-21 18:07:13.003
-3,-2,-2,1,-1,-3,0,0,2020-10-21 18:07:13.019
1,-1,-3,-3,0,0,0,0,2020-10-21 18:07:13.036
-5,-2,1,0,0,0,0,-4,2020-10-21 18:07:13.053
-3,0,1,0,0,0,-1,2,2020-10-21 18:07:13.070
-4,-2,-2,-1,-2,-2,-2,-2,2020-10-21 18:07:13.086
-11,-3,-1,-1,-1,0,-2,-1,2020-10-21 18:07:13.103
7,4,1,1,1,3,2,1,2020-10-21 18:07:13.119
-1,1,1,-2,1,0,-1,1,2020-10-21 18:07:13.135
0,1,-1,0,-2,-2,-2,-5,2020-10-21 18:07:13.152
-5,-2,-1,0,0,-1,-1,1,2020-10-21 18:07:13.169
10,-2,-1,-1,-2,-3,0,-1,2020-10-21 18:07:13.185
-8,-3,-1,-1,-2,-1,-3,-1,2020-10-21 18:07:13.202
0,0,-2,0,0,-1,0,-3,2020-10-21 18:07:13.219
-1,-1,0,-1,-1,1,1,-1,2020-10-21 18:07:13.236
9,-1,-2,-1,0,-2,0,-1,2020-10-21 18:07:13.253
-7,4,0,-1,-1,-1,-2,-9,2020-10-21 18:07:13.269
-1,1,-1,0,0,0,-1,0,2020-10-21 18:07:13.286
-3,1,-1,-2,-2,0,0,0,2020-10-21 18:07:13.303
-1,-4,1,0,1,-2,-1,-4,2020-10-21 18:07:13.320
-4,1,0,2,-1,-1,-1,-2,2020-10-21 18:07:13.336
2,-1,-2,0,0,-2,-1,2,2020-10-21 18:07:13.353
-5,-3,-1,-1,-1,-1,0,1,2020-10-21 18:07:13.370
-8,-3,-2,0,-4,-4,-5,1,2020-10-21 18:07:13.386
-2,-2,0,0,0,-2,0,2,2020-10-21 18:07:13.403
7,7,0,-1,3,-1,-1,2,2020-10-21 18:07:13.420
-6,-5,-1,-1,-3,-1,0,0,2020-10-21 18:07:13.437
-4,-2,-1,-1,0,0,-1,-2,2020-10-21 18:07:13.453
8,0,-2,-1,-2,0,0,1,2020-10-21 18:07:13.470
-1,0,-1,-1,-2,0,1,0,2020-10-21 18:07:13.486
2,0,-1,1,0,2,-1,-2,2020-10-21 18:07:13.503
-3,-2,-1,0,-1,0,2,-1,2020-10-21 18:07:13.519
14,1,-1,-1,-1,0,-1,2,2020-10-21 18:07:13.536
2,-2,-1,2,1,-2,-1,0,2020-10-21 18:07:13.553
-2,2,0,0,1,-1,-1,-2,2020-10-21 18:07:13.570
2,-1,-1,0,0,-1,-1,-1,2020-10-21 18:07:13.586
-4,-3,1,0,1,-1,1,1,2020-10-21 18:07:13.603
-11,-1,1,0,0,1,0,1,2020-10-21 18:07:13.620
-4,0,0,-2,-1,-2,0,2,2020-10-21 18:07:13.636
8,1,-2,-1,-2,-1,-2,0,2020-10-21 18:07:13.653
-3,-4,-1,0,0,0,-2,0,2020-10-21 18:07:13.670
-13,-3,0,0,-2,-1,-1,-1,2020-10-21 18:07:13.686
-1,-1,-2,-3,0,-1,-1,0,2020-10-21 18:07:13.703
-1,-1,-2,-2,0,0,0,-1,2020-10-21 18:07:13.720
0,-7,-1,0,0,1,-1,-2,2020-10-21 18:07:13.737
3,0,-2,-1,0,0,1,-3,2020-10-21 18:07:13.753
2,-1,0,-1,-1,0,-1,2,2020-10-21 18:07:13.770
3,1,-1,-1,-1,-1,-2,1,2020-10-21 18:07:13.786
-2,0,-1,-1,-3,-2,-1,0,2020-10-21 18:07:13.804
0,0,0,-1,-1,-1,0,-2,2020-10-21 18:07:13.820
-3,-1,-1,-1,-1,0,0,-2,2020-10-21 18:07:13.837
-1,1,0,0,-2,0,1,1,2020-10-21 18:07:13.854
-10,-1,-2,-5,-4,0,-3,1,2020-10-21 18:07:13.870
8,-1,-1,-2,-1,-3,0,1,2020-10-21 18:07:13.886
2,0,1,0,0,0,0,0,2020-10-21 18:07:13.903
-3,-1,0,2,0,0,0,2,2020-10-21 18:07:13.920
-2,1,-4,-2,-1,-2,-2,1,2020-10-21 18:07:13.936
3,3,-1,-2,-1,0,-1,-3,2020-10-21 18:07:13.953
3,5,0,1,0,0,-1,-1,2020-10-21 18:07:13.970
-4,-2,2,-1,1,1,1,-3,2020-10-21 18:07:13.986
2,2,-1,0,0,-2,0,0,2020-10-21 18:07:14.003
