EMG - Pod01,EMG - Pod02,EMG - Pod03,EMG - Pod04,EMG - Pod05,EMG - Pod06,EMG - Pod07,EMG - Pod08,Timestamp
0,0,0,0,0,0,0,0,21/09/2020 6:34:15
-2,-1,0,2,18,-1,-4,0,21/09/2020 6:34:15
-3,-2,-2,-3,5,0,-4,0,21/09/2020 6:34:16
-4,-2,-2,4,13,-29,-8,0,21/09/2020 6:34:16
0,0,-1,4,15,-6,-1,0,21/09/2020 6:34:16
0,-1,-1,-6,-43,7,-5,0,21/09/2020 6:34:16
-2,0,-2,6,13,-7,-7,0,21/09/2020 6:34:16
2,1,0,-3,2,11,5,0,21/09/2020 6:34:16
1,0,0,-3,-5,-2,0,0,21/09/2020 6:34:16
1,0,0,-3,-5,-2,0,0,21/09/2020 6:34:16
3,2,4,5,-11,18,8,0,21/09/2020 6:34:16
1,0,0,3,25,2,3,0,21/09/2020 6:34:16
0,0,2,8,24,7,0,0,21/09/2020 6:34:16
0,2,1,-5,-3,0,5,0,21/09/2020 6:34:16
0,0,1,0,16,-33,-6,0,21/09/2020 6:34:16
-3,-2,-3,-7,-22,-3,2,0,21/09/2020 6:34:16
-3,-4,-4,-4,-30,-3,-9,0,21/09/2020 6:34:16
1,1,0,0,-5,7,6,0,21/09/2020 6:34:16
-1,-2,-3,-2,-11,7,2,0,21/09/2020 6:34:16
1,-1,-1,-5,-39,-3,0,0,21/09/2020 6:34:16
-1,-2,-1,-1,17,-1,-5,0,21/09/2020 6:34:16
-1,-1,0,2,-17,3,-1,0,21/09/2020 6:34:16
2,1,2,6,12,19,4,0,21/09/2020 6:34:16
-1,-2,-2,-4,5,-8,-5,0,21/09/2020 6:34:16
-6,-6,-4,-2,9,1,-6,0,21/09/2020 6:34:16
-6,-6,-4,-2,9,1,-6,0,21/09/2020 6:34:16
-3,-4,-4,-7,-17,-1,-2,0,21/09/2020 6:34:16
-2,-2,-3,-5,-6,-10,-7,0,21/09/2020 6:34:16
0,0,-2,-5,-7,1,4,0,21/09/2020 6:34:16
-3,-3,-4,-12,-54,-32,-7,0,21/09/2020 6:34:16
-3,-2,-4,-4,-7,-8,-8,0,21/09/2020 6:34:16
2,-1,-1,1,1,4,4,0,21/09/2020 6:34:16
-3,-3,-3,-5,-19,3,-6,0,21/09/2020 6:34:16
0,1,1,1,11,6,8,0,21/09/2020 6:34:16
-1,-3,0,-1,-38,-39,-5,0,21/09/2020 6:34:16
-2,-1,-2,-4,5,7,2,0,21/09/2020 6:34:16
2,2,4,8,27,4,4,0,21/09/2020 6:34:16
0,1,-2,-6,0,-1,0,0,21/09/2020 6:34:16
-1,2,1,-6,-5,-9,-4,0,21/09/2020 6:34:16
-3,-3,-3,-3,13,5,-4,0,21/09/2020 6:34:16
0,-1,-1,-4,-14,3,4,0,21/09/2020 6:34:16
-2,-3,-1,-2,3,-2,-4,0,21/09/2020 6:34:16
-1,-2,-3,-4,8,5,0,0,21/09/2020 6:34:16
-1,1,0,2,-12,-2,2,0,21/09/2020 6:34:16
-1,0,-1,-1,2,6,-1,0,21/09/2020 6:34:16
-1,-1,-1,-2,15,-1,0,0,21/09/2020 6:34:16
-3,-3,-1,4,6,8,-2,0,21/09/2020 6:34:16
-4,-1,-1,4,3,-15,-5,0,21/09/2020 6:34:16
-2,-1,-1,1,11,-4,-1,0,21/09/2020 6:34:16
1,1,1,-2,-28,5,3,0,21/09/2020 6:34:16
-1,-1,1,4,40,9,1,0,21/09/2020 6:34:16
-1,-1,0,-3,-7,-6,-6,0,21/09/2020 6:34:16
0,-1,-1,-6,-6,2,0,0,21/09/2020 6:34:16
2,2,1,11,33,8,6,0,21/09/2020 6:34:16
-1,-3,-1,-4,-9,-6,-2,0,21/09/2020 6:34:16
-5,-4,-5,0,-6,18,-3,0,21/09/2020 6:34:16
0,0,0,5,35,26,4,0,21/09/2020 6:34:16
20,0,-1,2,21,-4,-1,0,21/09/2020 6:34:16
-3,-3,-1,2,-2,7,-1,0,21/09/2020 6:34:16
-5,-1,-1,-9,-20,-9,-2,0,21/09/2020 6:34:16
-4,1,0,-1,-22,-9,-2,0,21/09/2020 6:34:16
1,-3,-1,1,1,-2,0,0,21/09/2020 6:34:17
-6,-4,0,0,3,5,-5,0,21/09/2020 6:34:17
4,2,2,-6,-11,-7,0,0,21/09/2020 6:34:17
-14,-2,-1,0,0,4,2,0,21/09/2020 6:34:17
-3,-3,-4,-2,-1,7,3,0,21/09/2020 6:34:17
-2,-3,-10,-11,1,-2,-5,0,21/09/2020 6:34:17
7,-17,-5,-7,-8,-5,-3,0,21/09/2020 6:34:17
-10,7,7,-8,-23,-3,1,0,21/09/2020 6:34:17
-23,-5,3,9,5,9,5,0,21/09/2020 6:34:17
101,-16,-61,-13,0,11,7,0,21/09/2020 6:34:17
52,9,14,-55,-79,-50,-16,0,21/09/2020 6:34:17
-35,-11,-11,-5,-11,-7,2,0,21/09/2020 6:34:17
-9,15,9,-2,33,-2,-5,0,21/09/2020 6:34:17
1,3,-7,-29,-39,-16,-3,0,21/09/2020 6:34:17
-55,-8,-14,-8,-49,-58,-16,0,21/09/2020 6:34:17
6,3,7,11,54,37,0,0,21/09/2020 6:34:17
4,0,4,5,8,16,4,0,21/09/2020 6:34:17
5,0,0,-9,9,21,22,0,21/09/2020 6:34:17
5,0,0,-9,9,21,22,0,21/09/2020 6:34:17
-11,-1,-1,-6,-51,-46,-13,0,21/09/2020 6:34:17
-17,0,-9,-30,-39,12,-7,0,21/09/2020 6:34:17
0,0,0,0,0,0,0,0,21/09/2020 6:34:22
-2,-1,0,-2,-6,-12,-2,0,21/09/2020 6:34:22
-6,-5,-7,-19,-43,-13,-5,0,21/09/2020 6:34:22
2,3,2,10,9,6,2,0,21/09/2020 6:34:23
2,0,4,8,13,13,4,0,21/09/2020 6:34:23
-2,-2,-1,1,7,3,-2,0,21/09/2020 6:34:23
-3,-2,-2,1,8,2,-5,0,21/09/2020 6:34:23
0,-1,-4,-2,-10,-5,-1,0,21/09/2020 6:34:23
-2,-2,-3,1,-27,-39,-5,0,21/09/2020 6:34:23
2,3,2,6,15,11,5,0,21/09/2020 6:34:23
-6,-4,-7,-18,-33,-17,-9,0,21/09/2020 6:34:23
-4,-4,-7,-25,-39,-14,-9,0,21/09/2020 6:34:23
2,1,2,16,37,14,4,0,21/09/2020 6:34:23
-2,-2,-2,-3,-1,-7,-5,0,21/09/2020 6:34:23
-2,1,0,3,-5,10,2,0,21/09/2020 6:34:23
2,1,4,15,63,23,5,0,21/09/2020 6:34:23
2,3,-1,0,13,8,5,0,21/09/2020 6:34:23
0,0,-1,-4,-21,9,8,0,21/09/2020 6:34:23
