EMG - Pod01,EMG - Pod02,EMG - Pod03,EMG - Pod04,EMG - Pod05,EMG - Pod06,EMG - Pod07,EMG - Pod08,Timestamp
Sushanta0,0,Sushanta0,0,Sushanta0,0,Sushanta0,0,$6308
Sushanta1,1,Sushanta1,1,Sushanta1,1,Sushanta1,1,$9589
Sushanta2,2,Sushanta2,2,Sushanta2,2,Sushanta2,2,$8370
Sushanta3,3,Sushanta3,3,Sushanta3,3,Sushanta3,3,$8640
Sushanta4,4,Sushanta4,4,Sushanta4,4,Sushanta4,4,$8770
Sushanta5,5,Sushanta5,5,Sushanta5,5,Sushanta5,5,$9319
Sushanta6,6,Sushanta6,6,Sushanta6,6,Sushanta6,6,$7321
Sushanta7,7,Sushanta7,7,Sushanta7,7,Sushanta7,7,$7091
Sushanta8,8,Sushanta8,8,Sushanta8,8,Sushanta8,8,$7729
Sushanta9,9,Sushanta9,9,Sushanta9,9,Sushanta9,9,$8371

