EMG - Pod01,EMG - Pod02,EMG - Pod03,EMG - Pod04,EMG - Pod05,EMG - Pod06,EMG - Pod07,EMG - Pod08,Timestamp
0,0,0,0,0,0,0,0,24/09/2020 15:59:07
47,8,-19,-53,0,21,38,0,24/09/2020 15:59:07
1,-1,-2,-1,1,1,-2,0,24/09/2020 15:59:08
0,2,-3,5,-3,-3,2,0,24/09/2020 15:59:08
0,-5,-2,-1,0,0,3,0,24/09/2020 15:59:08
-1,-6,-12,-6,-3,0,0,0,24/09/2020 15:59:08
2,5,0,-4,-3,-1,-3,0,24/09/2020 15:59:08
0,2,-3,0,1,0,0,0,24/09/2020 15:59:08
0,0,4,-3,0,0,1,0,24/09/2020 15:59:08
-3,0,0,-2,2,-3,-1,0,24/09/2020 15:59:08
-1,-5,-4,1,5,-1,-2,0,24/09/2020 15:59:08
-1,-1,-3,2,2,3,1,0,24/09/2020 15:59:08
-2,-2,-5,-3,1,-4,-7,0,24/09/2020 15:59:08
-1,3,6,3,0,0,-1,0,24/09/2020 15:59:08
0,-3,2,-2,-1,1,-6,0,24/09/2020 15:59:08
-4,-1,-5,-11,-10,-9,0,0,24/09/2020 15:59:08
-1,-1,0,3,-2,2,11,0,24/09/2020 15:59:08
-2,-1,-3,5,1,0,12,0,24/09/2020 15:59:08
1,8,3,2,-3,-5,-4,0,24/09/2020 15:59:08
0,0,0,0,0,0,0,0,24/09/2020 15:59:13
-3,4,11,6,1,-2,-4,0,24/09/2020 15:59:13
2,9,9,4,1,-1,1,0,24/09/2020 15:59:14
-1,1,-2,1,0,-2,-1,0,24/09/2020 15:59:14
-2,1,0,1,1,2,-2,0,24/09/2020 15:59:14
0,0,3,-2,-1,0,-3,0,24/09/2020 15:59:14
-4,-3,-4,0,-2,0,2,0,24/09/2020 15:59:14
0,-2,-3,-2,0,-1,2,0,24/09/2020 15:59:14
-1,2,0,-7,0,-2,-2,0,24/09/2020 15:59:14
1,0,-2,-3,-3,0,-3,0,24/09/2020 15:59:15
-1,-3,-4,-1,0,2,0,0,24/09/2020 15:59:15
-3,0,-2,-1,2,0,-2,0,24/09/2020 15:59:15
1,2,-5,0,4,0,-2,0,24/09/2020 15:59:15
-4,-8,0,4,1,0,0,0,24/09/2020 15:59:15
2,-3,-3,0,-1,1,-1,0,24/09/2020 15:59:15
-2,-6,-3,-3,2,-3,2,0,24/09/2020 15:59:15
0,7,13,3,1,1,1,0,24/09/2020 15:59:15
-1,0,2,-2,-2,-2,-3,0,24/09/2020 15:59:15
0,0,3,5,-1,-2,0,0,24/09/2020 15:59:15
0,3,4,2,0,-3,-2,0,24/09/2020 15:59:15
4,2,-2,-2,-1,2,0,0,24/09/2020 15:59:15
-1,4,9,6,-1,1,1,0,24/09/2020 15:59:15
0,-4,6,-2,2,-1,0,0,24/09/2020 15:59:15
1,-2,-1,1,-1,0,2,0,24/09/2020 15:59:15
1,-3,-7,-5,0,-1,-1,0,24/09/2020 15:59:15
2,-5,-11,-8,-2,1,1,0,24/09/2020 15:59:15
1,5,8,0,-1,2,-1,0,24/09/2020 15:59:15
-1,-6,-16,-7,-2,-3,0,0,24/09/2020 15:59:15
0,3,4,1,-3,1,3,0,24/09/2020 15:59:15
0,-8,-13,-3,-2,1,-2,0,24/09/2020 15:59:15
-1,-3,0,6,-2,0,0,0,24/09/2020 15:59:15
0,-1,2,1,-1,0,1,0,24/09/2020 15:59:15
2,-4,-10,-5,-3,2,3,0,24/09/2020 15:59:15
-2,9,12,10,-1,-1,-1,0,24/09/2020 15:59:15
-1,-7,-2,-1,0,-1,-3,0,24/09/2020 15:59:15
4,2,-4,-2,0,-1,-1,0,24/09/2020 15:59:15
0,-3,0,-4,1,-1,1,0,24/09/2020 15:59:16
2,-3,-5,-5,2,-2,0,0,24/09/2020 15:59:16
-1,-1,-1,2,1,-1,0,0,24/09/2020 15:59:16
0,2,-1,-3,2,-1,-1,0,24/09/2020 15:59:16
-2,-4,-13,-6,-4,-3,2,0,24/09/2020 15:59:16
0,3,2,-1,-2,-1,2,0,24/09/2020 15:59:16
1,-2,2,0,0,1,2,0,24/09/2020 15:59:16
0,0,6,0,3,0,-1,0,24/09/2020 15:59:16
2,-2,-14,-2,0,-1,3,0,24/09/2020 15:59:16
0,-6,4,-6,-1,0,-1,0,24/09/2020 15:59:16
0,1,14,-5,-2,-3,-1,0,24/09/2020 15:59:16
-1,-2,-8,0,0,-1,0,0,24/09/2020 15:59:16
1,-5,-5,-2,-1,0,-2,0,24/09/2020 15:59:16
-2,2,8,-9,-2,1,-1,0,24/09/2020 15:59:16
-3,6,20,6,3,0,-4,0,24/09/2020 15:59:16
1,-1,-8,3,2,2,1,0,24/09/2020 15:59:17
-1,0,1,3,0,-3,-1,0,24/09/2020 15:59:17
-1,-6,0,-2,-3,-2,1,0,24/09/2020 15:59:17
1,10,6,1,-1,0,1,0,24/09/2020 15:59:17
1,3,1,-2,0,-2,-1,0,24/09/2020 15:59:17
2,-7,-26,-8,0,0,3,0,24/09/2020 15:59:17
4,4,5,-3,4,-1,-4,0,24/09/2020 15:59:17
-1,5,5,2,-3,0,-2,0,24/09/2020 15:59:17
0,-8,-9,-3,3,2,2,0,24/09/2020 15:59:17
3,3,14,2,-1,1,-1,0,24/09/2020 15:59:17
-4,-3,-5,-10,-4,-3,-6,0,24/09/2020 15:59:17
1,-3,-5,-8,-2,0,-1,0,24/09/2020 15:59:17
-4,-6,-5,7,-2,0,-2,0,24/09/2020 15:59:17
2,-1,0,-3,1,2,1,0,24/09/2020 15:59:17
2,1,6,10,-2,-4,1,0,24/09/2020 15:59:17
2,-10,-26,-19,-2,1,2,0,24/09/2020 15:59:17
6,7,20,19,1,-6,2,0,24/09/2020 15:59:17
4,1,1,-2,1,19,5,0,24/09/2020 15:59:17
-2,-3,-9,-4,1,-3,0,0,24/09/2020 15:59:18
5,3,4,35,1,0,5,0,24/09/2020 15:59:18
-4,-3,1,3,4,-3,-2,0,24/09/2020 15:59:18
-5,-3,12,-11,-3,0,-5,0,24/09/2020 15:59:18
-2,-4,-5,-14,10,-3,-2,0,24/09/2020 15:59:18
2,3,-6,-6,-1,-1,-1,0,24/09/2020 15:59:18
3,2,2,0,-8,-1,1,0,24/09/2020 15:59:18
3,-3,-7,-4,-3,1,2,0,24/09/2020 15:59:18
-1,-1,-3,-12,-5,-1,8,0,24/09/2020 15:59:18
-2,-3,-7,0,2,-2,-1,0,24/09/2020 15:59:18
-3,-7,-5,-5,-2,-2,-1,0,24/09/2020 15:59:19
1,-3,2,1,-1,-1,2,0,24/09/2020 15:59:19
-6,-8,-5,-5,-3,-8,-2,0,24/09/2020 15:59:19
-3,0,4,11,-5,-4,0,0,24/09/2020 15:59:19
-3,-2,-5,-1,1,-2,-1,0,24/09/2020 15:59:19
0,5,0,-7,-2,-1,2,0,24/09/2020 15:59:19
0,-3,-3,-6,1,-3,1,0,24/09/2020 15:59:19
-3,-3,-4,-3,0,-1,-2,0,24/09/2020 15:59:19
-4,3,-1,-30,-2,0,-3,0,24/09/2020 15:59:19
-1,0,1,1,0,0,-2,0,24/09/2020 15:59:19
2,-1,5,4,0,-3,0,0,24/09/2020 15:59:19
2,-7,-4,0,-4,-2,0,0,24/09/2020 15:59:19
-2,2,6,3,0,-2,-3,0,24/09/2020 15:59:19
-5,-6,-2,3,-1,-2,-1,0,24/09/2020 15:59:19
3,1,-1,3,1,0,2,0,24/09/2020 15:59:19
-2,0,10,9,0,0,-2,0,24/09/2020 15:59:19
