Raw EMG - Pod01,Raw EMG - Pod02,Raw EMG - Pod03,Raw EMG - Pod04,Raw EMG - Pod05,Raw EMG - Pod06,Raw EMG - Pod07,Raw EMG - Pod08,Timestamp
0,0,0,0,0,0,0,20,2020-10-21 18:12:46.661
19,43,7,-1,14,6,12,2,2020-10-21 18:12:46.730
16,52,87,18,4,-4,-1,-7,2020-10-21 18:12:46.744
-6,-26,-15,-4,-3,1,-2,-23,2020-10-21 18:12:46.766
-19,-35,-22,-18,-9,-11,-42,-3,2020-10-21 18:12:46.775
-7,14,5,-6,-10,-9,-5,-6,2020-10-21 18:12:46.786
-6,-15,25,-3,-4,-1,-20,-6,2020-10-21 18:12:46.841
-6,-15,25,-3,-4,-1,-20,-4,2020-10-21 18:12:46.894
-2,15,8,9,-2,-15,-20,10,2020-10-21 18:12:46.911
5,8,-3,-9,-1,11,35,10,2020-10-21 18:12:46.933
5,8,-3,-9,-1,11,35,-5,2020-10-21 18:12:46.944
-8,4,-14,-12,-3,-6,-18,-2,2020-10-21 18:12:46.956
-2,11,-8,-3,-2,-2,17,11,2020-10-21 18:12:46.967
11,14,-4,-3,-2,-3,-10,11,2020-10-21 18:12:46.980
11,14,-4,-3,-2,-3,-10,4,2020-10-21 18:12:46.999
4,-7,7,8,4,-1,7,7,2020-10-21 18:12:47.019
8,-35,1,1,-5,16,-14,-5,2020-10-21 18:12:47.035
-15,-27,-15,-13,-5,7,7,5,2020-10-21 18:12:47.049
10,4,16,-2,-4,1,-7,-3,2020-10-21 18:12:47.060
-11,-37,20,-17,-8,-6,4,-1,2020-10-21 18:12:47.069
-8,-27,-10,10,-3,-3,-7,-1,2020-10-21 18:12:47.093
-8,-27,-10,10,-3,-3,-7,-1,2020-10-21 18:12:47.099
6,3,12,-2,2,-5,-22,-1,2020-10-21 18:12:47.108
6,3,12,-2,2,-5,-22,-1,2020-10-21 18:12:47.116
6,3,12,-2,2,-5,-22,0,2020-10-21 18:12:47.123
1,-3,19,8,-1,8,-9,0,2020-10-21 18:12:47.131
1,-3,19,8,-1,8,-9,0,2020-10-21 18:12:47.139
2,7,21,-11,-1,1,1,1,2020-10-21 18:12:47.146
1,-15,-5,-3,-1,1,19,6,2020-10-21 18:12:47.163
0,21,50,7,-3,11,27,-4,2020-10-21 18:12:47.170
0,8,-4,-8,-4,-10,-20,0,2020-10-21 18:12:47.178
4,24,14,-1,-13,-21,-28,12,2020-10-21 18:12:47.185
16,92,24,12,-2,-1,5,12,2020-10-21 18:12:47.192
16,92,24,12,-2,-1,5,-1,2020-10-21 18:12:47.199
-6,-37,-41,21,3,-6,-5,-1,2020-10-21 18:12:47.207
-6,-37,-41,21,3,-6,-5,4,2020-10-21 18:12:47.213
4,-10,1,-1,-2,-7,-13,-2,2020-10-21 18:12:47.220
0,28,-1,-3,1,0,10,-2,2020-10-21 18:12:47.228
0,28,-1,-3,1,0,10,-2,2020-10-21 18:12:47.236
0,28,-1,-3,1,0,10,-7,2020-10-21 18:12:47.244
-3,-12,12,13,-7,-35,-56,-7,2020-10-21 18:12:47.250
-3,-12,12,13,-7,-35,-56,-7,2020-10-21 18:12:47.257
-3,-12,12,13,-7,-35,-56,-20,2020-10-21 18:12:47.262
-21,-22,-1,-19,-20,5,-7,-20,2020-10-21 18:12:47.270
-21,-22,-1,-19,-20,5,-7,-3,2020-10-21 18:12:47.277
-14,-9,-65,-17,-15,20,-2,8,2020-10-21 18:12:47.282
10,-16,38,-13,-12,7,-26,8,2020-10-21 18:12:47.289
10,-16,38,-13,-12,7,-26,-2,2020-10-21 18:12:47.296
-4,-23,-25,21,12,-13,-23,2,2020-10-21 18:12:47.302
4,-3,5,-6,7,3,7,2,2020-10-21 18:12:47.308
4,-3,5,-6,7,3,7,2,2020-10-21 18:12:47.315
4,-3,5,-6,7,3,7,-2,2020-10-21 18:12:47.321
-11,-10,-24,-15,8,2,55,-2,2020-10-21 18:12:47.329
-11,-10,-24,-15,8,2,55,-1,2020-10-21 18:12:47.375
-8,-30,-26,6,11,3,14,6,2020-10-21 18:12:47.389
-1,-22,-11,-1,6,6,22,3,2020-10-21 18:12:47.399
8,4,-1,-1,-2,2,7,-4,2020-10-21 18:12:47.405
-6,36,20,-2,-5,3,-23,-4,2020-10-21 18:12:47.412
-6,36,20,-2,-5,3,-23,4,2020-10-21 18:12:47.420
-9,-2,-4,-8,2,-1,21,3,2020-10-21 18:12:47.432
3,-3,2,3,22,3,-3,-2,2020-10-21 18:12:47.442
0,4,3,-16,-5,-9,-21,-1,2020-10-21 18:12:47.449
0,-17,-32,-8,0,8,19,-6,2020-10-21 18:12:47.456
-5,-40,1,9,10,7,1,3,2020-10-21 18:12:47.460
9,24,4,-6,-6,-5,-9,3,2020-10-21 18:12:47.466
9,24,4,-6,-6,-5,-9,3,2020-10-21 18:12:47.477
9,24,4,-6,-6,-5,-9,4,2020-10-21 18:12:47.483
21,-53,-13,1,5,0,6,4,2020-10-21 18:12:47.490
21,-53,-13,1,5,0,6,4,2020-10-21 18:12:47.497
21,-53,-13,1,5,0,6,-6,2020-10-21 18:12:47.504
-13,7,-5,-3,-3,0,-6,-6,2020-10-21 18:12:47.512
-13,7,-5,-3,-3,0,-6,2,2020-10-21 18:12:47.519
4,-24,-8,2,16,-11,-12,0,2020-10-21 18:12:47.524
-3,-9,1,1,-6,-3,-10,0,2020-10-21 18:12:47.532
-3,-9,1,1,-6,-3,-10,1,2020-10-21 18:12:47.538
-1,13,7,0,-6,-1,4,-4,2020-10-21 18:12:47.544
-6,-2,3,-3,-2,0,0,-4,2020-10-21 18:12:47.551
-6,-2,3,-3,-2,0,0,-4,2020-10-21 18:12:47.558
-6,-2,3,-3,-2,0,0,6,2020-10-21 18:12:47.564
6,-4,31,15,0,7,15,6,2020-10-21 18:12:47.570
6,-4,31,15,0,7,15,-6,2020-10-21 18:12:47.577
-6,-21,-10,4,-1,4,5,-2,2020-10-21 18:12:47.583
-3,16,5,1,-1,-2,-10,-2,2020-10-21 18:12:47.591
-3,16,5,1,-1,-2,-10,1,2020-10-21 18:12:47.599
0,5,-2,7,1,-1,-6,1,2020-10-21 18:12:47.605
-2,-7,5,-9,-2,-12,-14,1,2020-10-21 18:12:47.612
-2,-7,5,-9,-2,-12,-14,1,2020-10-21 18:12:47.618
-2,-7,5,-9,-2,-12,-14,-1,2020-10-21 18:12:47.624
2,-4,6,1,2,0,-3,-1,2020-10-21 18:12:47.631
2,-4,6,1,2,0,-3,-1,2020-10-21 18:12:47.637
-6,28,6,17,6,-1,-1,2,2020-10-21 18:12:47.644
6,-8,9,-3,-9,9,-9,2,2020-10-21 18:12:47.652
6,-8,9,-3,-9,9,-9,-4,2020-10-21 18:12:47.664
-7,-4,19,6,0,-6,11,10,2020-10-21 18:12:47.672
-2,-15,-31,-4,-6,-11,59,-9,2020-10-21 18:12:47.682
-12,-8,-4,23,7,0,-15,-9,2020-10-21 18:12:47.690
-12,-8,-4,23,7,0,-15,7,2020-10-21 18:12:47.696
10,-18,-3,-4,2,-1,26,-3,2020-10-21 18:12:47.702
-1,0,-19,-7,-2,6,2,-3,2020-10-21 18:12:47.709
-1,0,-19,-7,-2,6,2,-3,2020-10-21 18:12:47.716
-2,-15,-14,-1,2,2,-17,-2,2020-10-21 18:12:47.722
1,7,15,1,-6,-10,4,0,2020-10-21 18:12:47.730
3,33,14,-3,3,-6,2,0,2020-10-21 18:12:47.739
3,33,14,-3,3,-6,2,-2,2020-10-21 18:12:47.747
4,-8,4,-2,-10,1,-22,-2,2020-10-21 18:12:47.755
4,-8,4,-2,-10,1,-22,-2,2020-10-21 18:12:47.762
4,-8,4,-2,-10,1,-22,-7,2020-10-21 18:12:47.768
-8,11,1,-3,6,0,-18,3,2020-10-21 18:12:47.775
7,-9,2,4,2,4,0,3,2020-10-21 18:12:47.781
7,-9,2,4,2,4,0,0,2020-10-21 18:12:47.787
1,-16,2,-4,-5,-10,2,0,2020-10-21 18:12:47.794
1,-16,2,-4,-5,-10,2,0,2020-10-21 18:12:47.800
4,14,4,-1,2,3,1,0,2020-10-21 18:12:47.806
4,14,4,-1,2,3,1,0,2020-10-21 18:12:47.813
4,14,4,-1,2,3,1,-3,2020-10-21 18:12:47.821
0,2,-11,4,-1,-6,-6,-3,2020-10-21 18:12:47.826
-2,4,-15,-8,2,-1,-5,-3,2020-10-21 18:12:47.833
-2,4,-15,-8,2,-1,-5,-6,2020-10-21 18:12:47.839
-4,-16,7,-10,-8,-13,-20,-4,2020-10-21 18:12:47.846
