Raw EMG - Pod01,Raw EMG - Pod02,Raw EMG - Pod03,Raw EMG - Pod04,Raw EMG - Pod05,Raw EMG - Pod06,Raw EMG - Pod07,Raw EMG - Pod08,Timestamp
-1,-4,-5,-7,-7,-23,-13,-12,2020-11-12 21:46:45.621
1,5,-17,-5,-4,-2,41,7,2020-11-12 21:46:45.773
1,-3,6,17,13,13,-82,14,2020-11-12 21:46:45.777
1,-3,6,17,13,13,-82,14,2020-11-12 21:46:45.791
-4,-8,14,-15,-10,-9,-29,-26,2020-11-12 21:46:45.796
-4,-8,14,-15,-10,-9,-29,-26,2020-11-12 21:46:45.802
-4,-8,14,-15,-10,-9,-29,-26,2020-11-12 21:46:45.808
5,16,-27,-18,-5,-12,-52,-16,2020-11-12 21:46:45.814
2,25,14,30,29,-10,-29,-8,2020-11-12 21:46:45.821
2,25,14,30,29,-10,-29,-8,2020-11-12 21:46:45.826
-3,6,-7,-24,-35,25,60,-15,2020-11-12 21:46:45.833
0,13,25,-15,-2,2,65,2,2020-11-12 21:46:45.839
0,13,25,-15,-2,2,65,2,2020-11-12 21:46:45.844
0,13,25,-15,-2,2,65,2,2020-11-12 21:46:45.851
-5,-9,-49,11,6,-28,-78,-1,2020-11-12 21:46:45.858
-1,16,-26,33,4,22,92,2,2020-11-12 21:46:45.865
-15,-34,37,-15,-9,5,-80,-22,2020-11-12 21:46:45.871
-1,-10,-21,-6,0,16,-5,-8,2020-11-12 21:46:45.876
-1,-10,-21,-6,0,16,-5,-8,2020-11-12 21:46:45.883
-3,11,18,62,13,-34,16,-6,2020-11-12 21:46:45.889
-3,11,18,62,13,-34,16,-6,2020-11-12 21:46:45.894
-4,-6,-13,-47,-26,-42,-55,-13,2020-11-12 21:46:45.901
-4,-6,-13,-47,-26,-42,-55,-13,2020-11-12 21:46:45.906
-5,-3,-1,-1,14,48,12,-19,2020-11-12 21:46:45.912
-5,-3,-1,-1,14,48,12,-19,2020-11-12 21:46:45.919
8,-11,6,14,20,36,57,23,2020-11-12 21:46:45.925
0,2,0,-12,11,6,-33,-10,2020-11-12 21:46:45.932
11,1,1,-7,22,0,-61,12,2020-11-12 21:46:45.937
11,1,1,-7,22,0,-61,12,2020-11-12 21:46:45.943
29,22,11,-8,-23,2,-13,16,2020-11-12 21:46:45.949
29,22,11,-8,-23,2,-13,16,2020-11-12 21:46:45.954
-10,-16,-7,2,-15,-17,-94,-22,2020-11-12 21:46:45.960
-10,-16,-7,2,-15,-17,-94,-22,2020-11-12 21:46:45.967
-17,-9,0,-5,22,7,28,21,2020-11-12 21:46:45.973
3,-4,-20,-5,18,-34,37,-8,2020-11-12 21:46:45.978
3,-4,-20,-5,18,-34,37,-8,2020-11-12 21:46:45.993
10,9,-2,3,18,55,44,18,2020-11-12 21:46:45.999
10,9,-2,3,18,55,44,18,2020-11-12 21:46:46.005
8,-7,-28,8,-5,-34,-52,5,2020-11-12 21:46:46.011
5,-16,17,-10,-22,85,68,12,2020-11-12 21:46:46.018
5,-16,17,-10,-22,85,68,12,2020-11-12 21:46:46.024
5,-16,17,-10,-22,85,68,12,2020-11-12 21:46:46.030
7,15,27,5,-41,1,-19,-16,2020-11-12 21:46:46.036
-5,7,5,26,-9,-29,25,-3,2020-11-12 21:46:46.042
-5,7,5,26,-9,-29,25,-3,2020-11-12 21:46:46.049
-3,-10,-26,8,2,21,4,12,2020-11-12 21:46:46.055
-3,-10,-26,8,2,21,4,12,2020-11-12 21:46:46.060
-3,-10,-26,8,2,21,4,12,2020-11-12 21:46:46.067
9,9,-51,-26,9,-3,-58,-2,2020-11-12 21:46:46.073
6,42,-32,-5,18,-17,4,-7,2020-11-12 21:46:46.095
-13,0,0,9,0,-6,-13,-9,2020-11-12 21:46:46.101
-13,0,0,9,0,-6,-13,-9,2020-11-12 21:46:46.107
-13,0,0,9,0,-6,-13,-9,2020-11-12 21:46:46.112
-13,-3,24,15,1,-21,-35,-29,2020-11-12 21:46:46.119
-13,-3,24,15,1,-21,-35,-29,2020-11-12 21:46:46.125
-13,-3,24,15,1,-21,-35,-29,2020-11-12 21:46:46.132
-9,-14,10,-5,-5,-35,-80,-41,2020-11-12 21:46:46.137
-9,-14,10,-5,-5,-35,-80,-41,2020-11-12 21:46:46.143
-9,-14,10,-5,-5,-35,-80,-41,2020-11-12 21:46:46.149
-9,-14,10,-5,-5,-35,-80,-41,2020-11-12 21:46:46.155
-3,-11,7,-15,4,44,-20,24,2020-11-12 21:46:46.161
-3,-11,7,-15,4,44,-20,24,2020-11-12 21:46:46.167
-3,-11,7,-15,4,44,-20,24,2020-11-12 21:46:46.173
8,3,4,-1,-7,-3,80,28,2020-11-12 21:46:46.179
8,3,4,-1,-7,-3,80,28,2020-11-12 21:46:46.186
6,-2,10,-1,-1,-97,-91,-10,2020-11-12 21:46:46.200
-5,-11,-3,-17,-3,22,71,-8,2020-11-12 21:46:46.206
11,18,20,-5,17,101,-12,-14,2020-11-12 21:46:46.211
11,18,20,-5,17,101,-12,-14,2020-11-12 21:46:46.218
7,6,-5,-10,8,-38,-75,0,2020-11-12 21:46:46.225
7,6,-5,-10,8,-38,-75,0,2020-11-12 21:46:46.232
-12,13,2,-4,-35,4,-2,4,2020-11-12 21:46:46.238
0,5,9,20,-11,11,36,0,2020-11-12 21:46:46.244
-10,-9,-6,54,29,-8,-1,-2,2020-11-12 21:46:46.250
-10,-9,-6,54,29,-8,-1,-2,2020-11-12 21:46:46.256
-4,-14,-29,-50,-23,-28,0,-3,2020-11-12 21:46:46.261
-4,-14,-29,-50,-23,-28,0,-3,2020-11-12 21:46:46.268
14,-7,-20,-62,-18,-23,28,33,2020-11-12 21:46:46.274
4,-22,7,38,7,13,-4,0,2020-11-12 21:46:46.279
